Newspaper,Heading,Date,Time,URL
India Today, RRB JE Exam 2019 to begin from today: Here are some important instructions for aspirants,2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/government-jobs/story/rrb-je-exam-2019-to-begin-from-today-here-are-some-important-instructions-for-aspirants-1531918-2019-05-22
India Today, 10 ways to politely say 'NO',2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/grammar-vocabulary/story/10-ways-to-politely-say-no-1505465-2019-04-19
India Today, 20 words to use instead of 'sad',2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/grammar-vocabulary/story/20-words-to-use-instead-of-sad-1503076-2019-04-16
India Today, Areas with productive climate tend to have more languages: Study,2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/gk-current-affairs/story/productive-climate-language-diversity-study-1529426-2019-05-20
India Today, List of 6 manned moon missions: These people set foot on lunar surface after Neil Armstrong,2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/gk-current-affairs/story/manned-moon-mission-lunar-surface-moon-landing-nasa-1408563-2018-12-13
India Today, This small-town school in Bengal teaches students with apps and storybooks ,2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/video/levelfield-school-teaches-students-with-apps-and-storybooks-html-1393974-2018-11-22
India Today," [WATCH] Nipah virus can be transmitted through contaminated water and fruits, warns govt advisory",2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/video/-watch-nipah-virus-can-be-transmitted-through-contaminated-water-and-fruits-warns-govt-advisory-1238575-2018-05-22
India Today," On Menstrual Hygiene Day, here's how workplaces need to deal with periods ",2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/featurephilia/story/menstruation-how-workplaces-need-to-deal-with-periods-1536483-2019-05-28
India Today, Why your mental health is an important factor in your government exam preparation,2019-05-30,22:36,https://timesofindia.indiatimes.com/education-today/featurephilia/story/why-your-mental-health-is-an-important-factor-in-your-govt-exam-preparation-1536297-2019-05-28
Time of India,NTA to conduct entrance exams for Delhi University,2019-05-30, 22:11:00,https://timesofindia.indiatimes.com/home/education/news/nta-to-conduct-entrance-exams-for-delhi-university/articleshow/69586950.cms
Time of India,Rajasthan PTET 2019 result announced@ ptet2019.org; here's download link,2019-05-30, 21:45:00,https://timesofindia.indiatimes.com/home/education/news/rajasthan-ptet-2019-result-declared-ptet2019-org-check-direct-link-here/articleshow/69572310.cms
Time of India,UPPSC exam controller arrested in LT grade paper leak-2018 episode,2019-05-30, 20:26:00,https://timesofindia.indiatimes.com/home/education/news/uppsc-exam-controller-arrested-in-lt-grade-paper-leak-2018-episode/articleshow/69585445.cms
Time of India,Workshops and certificate courses for students at Design Innovation Centre,2019-05-30, 18:07:00,https://timesofindia.indiatimes.com/home/education/news/workshops-and-certificate-courses-for-students-at-design-innovation-centre/articleshow/69583164.cms
Time of India,Science Video Production workshop to be held,2019-05-30, 18:02:00,https://timesofindia.indiatimes.com/home/education/news/science-video-production-workshop-to-be-held/articleshow/69583107.cms
Time of India,"Bihar D.El.Ed 2019 merit list expected to be released today, check details here",2019-05-30, 17:34:00,https://timesofindia.indiatimes.com/home/education/news/bihar-d-el-ed-2019-merit-list-expected-to-be-released-today-check-details/articleshow/69573335.cms
Time of India,CLAT 2019 Answer Key released @ clatconsortiumofnlu.ac.in,2019-05-30, 15:19:00,https://timesofindia.indiatimes.com/home/education/news/clat-2019-answer-key-released-clatconsortiumofnlu-ac-in/articleshow/69580226.cms
Time of India,NTA NEET UG 2019 Answer Key released; results expected by June 5,2019-05-30, 11:30:00,https://timesofindia.indiatimes.com/home/education/news/neet-ug-2019-answer-key-released-result-by-june-5/articleshow/69572984.cms
Time of India,Uttarakhand Board 10th and 12th results 2019 declared @ ubse.uk.gov.in,2019-05-30, 11:11:00,https://timesofindia.indiatimes.com/home/education/news/uttarakhand-board-10th-and-12th-results-2019-to-be-out-soon-ubse-uk-gov-in/articleshow/69556323.cms
Time of India,UBSE Uttarakhand 10th & 12th results announced @ uaresults.nic.in; here's direct link,2019-05-30, 11:09:00,https://timesofindia.indiatimes.com/home/education/news/uk-board-result-2019-ubse-uttarakhand-10th-12th-results-soon-heres-steps-to-check-marks/articleshow/69571349.cms
Time of India,"UK Board result 2019: UBSE Uttarakhand 10th & 12th results soon, here's steps to check marks",2019-05-30, 09:49:00,https://timesofindia.indiatimes.com/home/education/news/uk-board-result-2019-ubse-uttarakhand-10th-12th-results-soon-heres-steps-to-check-marks/photostory/69570993.cms
Time of India,"CSJM Kanpur University B.A., B.Sc. result 2019 announced @kanpuruniversity.org; check direct link here",2019-05-30, 09:39:00,https://timesofindia.indiatimes.com/home/education/news/csjm-kanpur-university-declares-b-a-b-sc-result-2018-kanpuruniversity-org-check-direct-link-here/articleshow/69565854.cms
Time of India,Delhi University Admissions 2019: DU announces admissions dates for academic session 2019-20,2019-05-30, 09:38:00,https://timesofindia.indiatimes.com/home/education/news/du-announces-admissions-dates-for-academic-session-2019-20/articleshow/69567097.cms
Time of India,Navodaya Result 2019: NVS Class 6th result and selection test list link active @ navodaya.gov.in,2019-05-30, 09:36:00,https://timesofindia.indiatimes.com/home/education/news/navodaya-result-nvs-class-6th-result-2019-announced-at-navodaya-nic-in/articleshow/69531093.cms
Time of India,HSCAP Kerala: Second allotment result 2019 released @hscap.kerala.gov.in,2019-05-30, 09:33:00,https://timesofindia.indiatimes.com/home/education/news/hscap-second-allotment-result-2019-declared-hscap-kerala-gov-in/articleshow/69567418.cms
Time of India,Five medical colleges approved by MCI in Telangana,2019-05-29, 23:28:00,https://timesofindia.indiatimes.com/home/education/news/five-medical-colleges-approved-by-mci-in-telangana/articleshow/69568241.cms
Time of India,DU admission registration process 2019 to commence on May 30,2019-05-29, 21:27:00,https://timesofindia.indiatimes.com/home/education/news/du-admission-registration-process-2019-to-commence-on-may-30/articleshow/69566339.cms
Time of India,HPSC paper leak: Rohtak resident Satish Rathi turned out to be mastermind,2019-05-29, 20:16:00,https://timesofindia.indiatimes.com/home/education/news/hpsc-paper-leak-rohtak-resident-satish-rathi-turned-out-to-be-mastermind/articleshow/69565559.cms
Time of India,App for Ramadan Kareem 2019 launched,2019-05-29, 20:06:00,https://timesofindia.indiatimes.com/home/education/news/app-for-ramadan-kareem-2019-launched/articleshow/69565429.cms
