Newspaper,Heading,Date,Time,URL
Hindiustan Times,HT Brunch Cover Story: Mixed doubles with Justine Henin and Yuki Bhambri ,2019-06-02,00:29:00,https://www.hindustantimes.com/brunch/ht-brunch-cover-story-mixed-doubles-with-justine-henin-and-yuki-bhambri/story-1iZIKLESAEsy1XBsRNsUSI.html
Hindiustan Times,Travel: Mermaids in the Maldives,2019-06-02,00:19:00,https://www.hindustantimes.com/brunch/travel-mermaids-in-the-maldives/story-BqkTDCxnf2cvpvEFmEPkjN.html
Hindiustan Times,"HT Brunch Fashion Edit: One blouse, two ways to wear it",2019-06-01,23:19:00,https://www.hindustantimes.com/brunch/ht-brunch-fashion-edit-one-blouse-two-ways-to-wear-it/story-FkwJoNltDoFqq7zhCncDyI.html
Hindiustan Times,Sunday Drive by Hormazd Sorabjee: The silence of the Mercedes-Benz EQC,2019-06-02,00:08:00,https://www.hindustantimes.com/brunch/sunday-drive-by-hormazd-sorabjee-the-silence-of-the-mercedes-benz-eqc/story-IaniEQfF4qaHccHdeIFntM.html
Hindiustan Times,Taste of home: Breaking bread with expats ,2019-06-02,13:39:00,https://www.hindustantimes.com/more-lifestyle/taste-of-home-breaking-bread-with-expats/story-uxjl3CHwq9chY27PsXlPwM.html
Hindiustan Times,It’s all a one-bird orchestra: The greater racket-tailed drongo,2019-06-02,13:18:00,https://www.hindustantimes.com/more-lifestyle/it-s-all-a-one-bird-orchestra-the-greater-racket-tailed-drongo/story-ASVS0CTJQojWr3MVGtLlOK.html
Hindiustan Times,Into the quaint world of rare book dealers,2019-06-02,12:49:00,https://www.hindustantimes.com/more-lifestyle/into-the-quaint-world-of-rare-book-dealers/story-5QPe3s96jG04nlOXMGX88J.html
Hindiustan Times,Here’s a list of advantages that extroverts enjoy at workplace,2019-06-02,09:20:00,https://www.hindustantimes.com/sex-and-relationships/here-s-a-list-of-advantages-that-extroverts-enjoy-at-workplace/story-2r48osZJkWgEwILSypX4yN.html
Hindiustan Times,HT Brunch Cover Story: Mixed doubles with Justine Henin and Yuki Bhambri ,2019-06-02,00:29:00,https://www.hindustantimes.com/brunch/ht-brunch-cover-story-mixed-doubles-with-justine-henin-and-yuki-bhambri/story-1iZIKLESAEsy1XBsRNsUSI.html
Hindiustan Times,Travel: Mermaids in the Maldives,2019-06-02,00:19:00,https://www.hindustantimes.com/brunch/travel-mermaids-in-the-maldives/story-BqkTDCxnf2cvpvEFmEPkjN.html
Hindiustan Times,"HT Brunch Fashion Edit: One blouse, two ways to wear it",2019-06-01,23:19:00,https://www.hindustantimes.com/brunch/ht-brunch-fashion-edit-one-blouse-two-ways-to-wear-it/story-FkwJoNltDoFqq7zhCncDyI.html
Hindiustan Times,Sunday Drive by Hormazd Sorabjee: The silence of the Mercedes-Benz EQC,2019-06-02,00:08:00,https://www.hindustantimes.com/brunch/sunday-drive-by-hormazd-sorabjee-the-silence-of-the-mercedes-benz-eqc/story-IaniEQfF4qaHccHdeIFntM.html
Hindiustan Times,Humour: Five annoying habits of the digital age,2019-06-01,23:59:00,https://www.hindustantimes.com/brunch/humour-five-annoying-habits-of-the-digital-age/story-rFPH15NgcmwammMAa9sgDN.html
Hindiustan Times,“The best thing about marriage? It’s like having a long sleepover with a friend!” Actor Tisca Chopra in a candid chat,2019-06-01,23:50:00,https://www.hindustantimes.com/brunch/the-best-thing-about-marriage-it-s-like-having-a-long-sleepover-with-a-friend-actor-tisca-chopra-in-a-candid-chat/story-bBPMKiVKHPyjy83EyOjpEO.html
Hindiustan Times,The chef side story: Why Dharshan Munidasa is the greatest seafood chef in Asia,2019-06-01,23:33:00,https://www.hindustantimes.com/brunch/the-chef-side-story-why-dharshan-munidasa-is-the-greatest-seafood-chef-in-india/story-flQMesGuljitoYZlQk795O.html
Hindiustan Times,Pride month: Best LGBTQIA Instagram accounts to follow,2019-06-01,23:04:00,https://www.hindustantimes.com/brunch/pride-month-best-lgbtqia-instagram-accounts-to-follow/story-r3yMNFr0mw8aya8RjS507K.html
Hindiustan Times,5 workouts for a free head,2019-06-01,19:23:00,https://www.hindustantimes.com/brunch/5-workouts-for-a-free-head/story-Zqq9z5HGG6VKlNzvqE62gJ.html
Hindiustan Times,5 healthy habits for a stress-free body,2019-06-02,00:02:00,https://www.hindustantimes.com/brunch/5-healthy-habits-for-a-stress-free-body/story-HbtGGti5A0r7bvQ3AHlOhL.html
Hindiustan Times,Core training and the six pack mania,2019-06-01,19:06:00,https://www.hindustantimes.com/brunch/core-training-and-the-six-pack-mania/story-Hl2ulzmS2ajb2J0mzYMMYI.html
